text,label
เออ,missing_info
ยอด0 บาท,troubleshooting_withdrawal
ขอบคุณมากนะคะ,chitchat_thanks
ไม่ได้รับเงินที่เบิก,faq
help me,missing_info
see you later,chitchat_goodbye
เงินหายไป,troubleshooting_money_not_arrived
วิธีเปลี่ยนรหัสผ่าน,faq
สวัสดีตอนเย็น,chitchat_greeting
วิธีเปลี่ยนรหัสผ่าน,faq
ลงทะเบียนไม่สำเร็จ,troubleshooting_signup
เบิกไม่ผ่านสักที,troubleshooting_withdrawal
เปลี่ยนเบอร์ด้วย Microsoft,faq
สมัครไม่สำเร็จ,troubleshooting_signup
many thanks,chitchat_thanks
หน่วยงานยังไม่เปิดให้บริการ,faq
เบิกไม่ได้ทำไม,troubleshooting_withdrawal
สแกนหน้าบน ZeeMe ไม่ได้,faq
น่าเบื่อมาก,chitchat_frustrated
ช่วยด้วยนะครับ,missing_info
hi there,chitchat_greeting
ttyl,chitchat_goodbye
hello ครับ,chitchat_greeting
can't sign up,troubleshooting_signup
เบิกเงินไม่ผ่าน,troubleshooting_withdrawal
เข้าสู่ระบบ People care ไม่ได้,faq
ทำความเข้าใจไม่ได้,chitchat_confused
งงเลย,chitchat_confused
ไม่พบข้อมูลผู้ใช้บนระบบ,faq
วิธีค้นหาบริษัทของคุณ,faq
sign up failed,troubleshooting_signup
issue,missing_info
กรณีแจ้งลาออกมาก่อนหน้า,faq
สมัครแอปไม่ได้,troubleshooting_signup
funds not received,troubleshooting_money_not_arrived
ขอบคุณมากเลย,chitchat_thanks
ขอบคุณนะ,chitchat_thanks
ขอบคุณมากๆ,chitchat_thanks
balance is 0,troubleshooting_withdrawal
ยอดแสดง 0 บาท,troubleshooting_withdrawal
ty,chitchat_thanks
เงื่อนไขอื่น ๆ สำหรับพนักงาน PCS,faq
ช่วยดูให้ที,missing_info
good bye,chitchat_goodbye
don't understand,chitchat_confused
สแกนเข้า-ออกงานแต่ไม่มียอดเงินอัปเดต,faq
วิธีเปลี่ยนบัญชีธนาคารที่รับเงิน,faq
หาชื่อบริษัทไม่เจอ,troubleshooting_cant_find_company
company not showing up,troubleshooting_cant_find_company
ยังไม่เห็นเงินในบัญชี,troubleshooting_money_not_arrived
ลงทะเบียนไม่ได้,troubleshooting_signup
กดเบิกแล้วมันไม่ผ่าน,troubleshooting_withdrawal
บริษัทลงทะเบียนแล้วแต่หาชื่อไม่พบ,faq
so slow,chitchat_frustrated
ยอดไม่ขึ้น,troubleshooting_withdrawal
เหนื่อยมาก,chitchat_frustrated
สวัสดีนะคะ,chitchat_greeting
เปลี่ยนเบอร์ด้วย Line,faq
ขอตัวก่อนค่ะ,chitchat_goodbye
