Context,Question,Answer,source_type,company_id,incident,tags,followup_questions,image_urls
วิธีการเปลี่ยนเบอร์โทรศัพท์ (ก่อนเข้าสู่ระบบ),เปลี่ยนเบอร์ด้วยรหัสพนักงานและเลขบัตรประชาชน,"พนักงานสามารถเปลี่ยนเบอร์ด้วยรหัสพนักงานและเลขบัตรประชาชน ตามขั้นตอนด้านล่าง:
1. เข้าสู่หน้าหลัก กดปุ่ม ""เพิ่มเติม"" ที่มุมขวาล่าง
2. เลือก ""เปลี่ยนเบอร์โทรศัพท์""
3. เลือกวิธีการยืนยันตัวตน ""ด้วยรหัสพนักงาน"" หรือ ""ด้วยเลขบัตรประชาชน""
4. กรอกเบอร์โทรศัพท์ใหม่ และกด ""ส่งรหัส OTP""
5. กรอกรหัส OTP เพื่อยืนยันเบอร์โทรศัพท์ กด ""ถัดไป""
6. เปลี่ยนเบอร์สำเร็จ!
หากไม่ได้รับ OTP:
1. แจ้งเบอร์ที่ใช้ปัจจุบันกับแอดมิน
2. ตรวจสอบกล่องข้อความ SMS ของโทรศัพท์
3. มองหาเมนู ข้อความสแปม / ข้อความที่ถูกบล็อก / จดหมายขยะ
4. รหัส OTP อาจอยู่ในข้อความที่ถูกปิดกั้น",non_login,salary_hero,,default,เปลี่ยนเบอร์ด้วยเบอร์โทรศัพท์ใหม่,https://s3.amazonaws.com/cdn.freshdesk.com/data/helpdesk/attachments/production/159007011925/original/Rqo2VLzffJP_Mdq-fS4xFyVz1w6Xj-XsyA.png?1769674820
วิธีการเปลี่ยนเบอร์โทรศัพท์ (ก่อนเข้าสู่ระบบ),เปลี่ยนเบอร์ด้วยเบอร์โทรศัพท์ใหม่,"พนักงานสามารถเปลี่ยนเบอร์โทรศัพท์โดยใช้เบอร์ใหม่ในการยืนยันตัวตน กรุณาดูขั้นตอนละเอียดในภาพด้านล่าง
หากไม่ได้รับ OTP:
1. แจ้งเบอร์ที่ใช้ปัจจุบันกับแอดมิน
2. ตรวจสอบกล่องข้อความ SMS ของโทรศัพท์
3. มองหาเมนู ข้อความสแปม / ข้อความที่ถูกบล็อก / จดหมายขยะ
4. รหัส OTP อาจอยู่ในข้อความที่ถูกปิดกั้น",non_login,salary_hero,,default,เปลี่ยนเบอร์ด้วยรหัสพนักงานและเลขบัตรประชาชน,https://s3.amazonaws.com/cdn.freshdesk.com/data/helpdesk/attachments/production/159007011938/original/uEQ9WIugdNyfCztG3JHF30jiLvwD4YmFJg.png?1769674881
วิธีการเปลี่ยนเบอร์โทรศัพท์ (ก่อนเข้าสู่ระบบ),เปลี่ยนเบอร์ด้วย Line,"พนักงานสามารถเข้าใช้งานด้วยเบอร์ใหม่ ตามขั้นตอนต่อไปนี้

หากพนักงานไม่ได้รับ OTP 

1.แจ้งเบอร์ที่ใช้ปัจจุบันกับแอดมิน 

2.ตรวจสอบกล่องข้อความ SMS ของโทรศัพท์ 

3.หากตรวจสอบในกล่องSMS แต่ยังไม่เจอOTP มองหา จุดสามจุดมุมขวาบน หรือ ไอคอนวงกลมมุมขวาบน

4.มองหาเมนู ข้อความสแปม / ข้อความที่ถูกบล็อก / บล็อกข้อความ / ข้อความขยะ / จดหมายขยะ / ข้อความที่ถูกปิดกั้น

5.รหัสOTP อาจอยู่ในข้อความที่ถูกปิดกั้น หรือจดหมายขยะ",non_login,pcs,,company_specific,,https://s3.amazonaws.com/cdn.freshdesk.com/data/helpdesk/attachments/production/159009020395/original/w9_7cCkLwR64-ZsmjSg20dYGpc7LAuAasQ.png?1772006417
วิธีการเปลี่ยนเบอร์โทรศัพท์ (ก่อนเข้าสู่ระบบ),เปลี่ยนเบอร์ด้วย Microsoft,"พนักงานสามารถเข้าใช้งานด้วยเบอร์ใหม่ ตามขั้นตอนต่อไปนี้

หากพนักงานไม่ได้รับ OTP 

1.แจ้งเบอร์ที่ใช้ปัจจุบันกับแอดมิน 

2.ตรวจสอบกล่องข้อความ SMS ของโทรศัพท์ 

3.หากตรวจสอบในกล่องSMS แต่ยังไม่เจอOTP มองหา จุดสามจุดมุมขวาบน หรือ ไอคอนวงกลมมุมขวาบน

4.มองหาเมนู ข้อความสแปม / ข้อความที่ถูกบล็อก / บล็อกข้อความ / ข้อความขยะ / จดหมายขยะ / ข้อความที่ถูกปิดกั้น

5.รหัสOTP อาจอยู่ในข้อความที่ถูกปิดกั้น หรือจดหมายขยะ",non_login,essilor,,company_specific,,https://s3.amazonaws.com/cdn.freshdesk.com/data/helpdesk/attachments/production/159009020580/original/vU4t7k5TeqKeGryTqn6K5P4iI5aNHIZY6g.png?1772006779
วิธีการผูกบัญชีธนาคาร,วิธีการผูกบัญชีธนาคาร,"วิธีผูกบัญชีธนาคาร:
1. เปิดแอป Salary Hero
2. เลือกธนาคารที่ต้องการผูกบัญชี
3. กรอกข้อมูลบัญชีธนาคารและยืนยัน",feature_direct_debit,salary_hero,,default,ผูกบัญชีธนาคารไม่สำเร็จ,https://s3.amazonaws.com/cdn.freshdesk.com/data/helpdesk/attachments/production/159010383301/original/HsgxE7AoHzxlToHUw_lzPsKr1QH7EDhG9g.png?1774509769
วิธีการผูกบัญชีธนาคาร,ผูกบัญชีธนาคารไม่สำเร็จ,"หากไม่สามารถผูกบัญชีธนาคารได้ 
1.ถอนการติดตั้งแอปพลิเคชัน K PLUS
2.ปิด-เปิดเครื่องโทรศัพท์ 
3.ติดตั้งแอปพลิเคชัน K PLUS และทดลองผูกบัญชีธนาคารอีกครั้ง

 หากแก้ปัญหาตามข้างต้นแล้วยังไม่สามารถผูกบัญชีธนาคารได้ รบกวนติดต่อแอดมินผ่านแอปแชท พร้อมแจ้งรายละเอียดดังต่อไปนี้
1.ภาพหน้าจอที่พบปัญหา
2.รุ่นโทรศัพท์มือถือที่ใช้งาน
3.ระบบปฏิบัติการโทรศัพท์ และ เวอร์ชันระบบปฏิบัติการโทรศัพท์
4.หมายเลขเวอร์ชัน แอปพลิเคชัน K PLUS
5.ช่วงเวลาที่ทำรายการ",feature_direct_debit,salary_hero,,default,วิธีการผูกบัญชีธนาคาร,
พบปัญหาการเคลม,ขั้นตอนชำระเงินคืน (ชำระอัตโนมัติไม่สำเร็จ),"วิธีชำระเงินคืน กรณีที่ชำระอัตโนมัติไม่สำเร็จ 
1. ชำระเงินคืนด้วยตนเองผ่านแอปพลิเคชัน
- หากการหักบัญชีอัตโนมัติไม่สำเร็จ พนักงานสามารถชำระคืนได้ด้วยตนเองผ่านการกด ""ชำระเงิน"" ในหน้าแรกของแอปฯ โดยจะต้องเติมเงินในบัญชีให้เพียงพอสำหรับการชำระคืน เมื่อระบบหักเงินสำเร็จสถานะ ค้างชำระ จะปรับเป็น ชำระเรียบร้อย

2. ชำระเงินคืนผ่านแอดมิน
-หากการหักบัญชีอัตโนมัติไม่สำเร็จ พนักงานสามารถติดต่อแอดมินเพื่อขอชำระคืนผ่านเลขที่บัญชีธนาคารของบริษัท

3. ชำระเงินคืนผ่านฝ่ายบุคคลของบริษัท
- กรณีไม่สามารถชำระคืนได้ด้วยตนเอง แอดมินจะนำส่งรายชื่อให้ทางฝ่ายบุคคลดำเนินการหักยอดค้างชำระในเดือนถัดไป
- ฝ่ายบุคคลจะทำการหักยอดค้างชำระ และนำส่งยอดคืนทาง Salary Hero ซึ่งขั้นตอนนี้จะมีระยะเวลาและขั้นตอนเพิ่มเติมในการดำเนินการหักยอดและนำส่งหลังจากวันจ่ายเงินเดือน 3-5 วันทำการ ไม่ได้นำส่งยอดทันที ส่งผลให้สถานะในแอปพลิเคชันยังแสดงเป็น ค้างชำระ แม้ว่าในสลิปเงินเดือนจะมีรายการหัก Salary Hero เรียบร้อยแล้ว
- เมื่อ Salary Hero ได้รับยอดชำระคืนครบถ้วนจากทางบริษัท สถานะ ค้างชำระ จะถูกปรับเป็น ชำระเรียบร้อย",feature_direct_debit,salary_hero,,default,ไม่สามารถชำระคืนได้;ชำระคืนเรียบร้อยแต่ยังไม่สามารถใช้งานได้,
พบปัญหาการเคลม,ไม่สามารถชำระคืนได้,กรณีไม่สามารถชำระคืนได้ในรอบการเบิกนั้น ๆ ทางแอดมินจะนำส่งรายชื่อให้ทางฝ่ายบุคคลดำเนินการหักยอดค้างชำระในเดือนถัดไป  โดยฝ่ายบุคคลจะทำการหักยอดค้างชำระ และนำส่งยอดคืนทาง Salary Hero ซึ่งขั้นตอนนี้จะมีระยะเวลาและขั้นตอนเพิ่มเติมในการดำเนินการหักยอดและนำส่งหลังจากวันจ่ายเงินเดือน 3-5 วันทำการ ไม่ได้นำส่งยอดทันที ส่งผลให้สถานะในแอปพลิเคชันยังแสดงเป็น ค้างชำระ แม้ว่าในสลิปเงินเดือนจะมีรายการหัก Salary Hero เรียบร้อยแล้ว หาก Salary Hero ได้รับยอดชำระคืนครบถ้วน สถานะค้างชำระ จะถูกปรับเป็น ชำระเรียบร้อย,feature_direct_debit,salary_hero,,default,ขั้นตอนชำระเงินคืน (ชำระอัตโนมัติไม่สำเร็จ);ชำระคืนเรียบร้อยแต่ยังไม่สามารถใช้งานได้,
พบปัญหาการเคลม,ชำระคืนเรียบร้อยแต่ยังไม่สามารถใช้งานได้,"พนักงานจะไม่สามารถเบิกเงินได้หากสถานะการชำระเงินเป็น อยู่ระหว่างการชำระเงิน ระบบจะแจ้งเตือนอีกครั้งเมื่อการชำระเงินเสร็จสมบูรณ์

หากพนักงานมีการชำระคืนเรียบร้อยแล้วแต่ยังไม่สามารถใช้งานได้ รบกวนแจ้งแอดมินผ่านทางแอปแชท พร้อมแนบหลักฐานการชำระเงินคืนและภาพหน้าจอที่พบปัญหา ให้แอดมินช่วยตรวจสอบเพิ่มเติม",feature_direct_debit,salary_hero,,default,ขั้นตอนชำระเงินคืน (ชำระอัตโนมัติไม่สำเร็จ);ไม่สามารถชำระคืนได้,
พบปัญหาการเคลม (Flexible Benefit),โดนปฏิเสธคำขอ,"วิธีส่งคำขอเคลมใหม่เมื่อถูกปฏิเสธ:
1. ตรวจสอบการแจ้งเตือน แล้วไปที่ประวัติการเคลม
2. แตะที่คำขอที่ถูกปฏิเสธเพื่อดูเหตุผล แล้วกด ส่งคำขอใหม่
3. แก้ไขรายละเอียดการเคลมตามเหตุผลที่ถูกปฏิเสธ แล้วกด ส่ง
4. คำขอถูกส่งใหม่เรียบร้อย รอการตรวจสอบและอนุมัติจาก HR",feature_flexben,salary_hero,,default,ยื่นคำขอไม่สำเร็จ;ยอดเงินติดลบ,https://s3.amazonaws.com/cdn.freshdesk.com/data/helpdesk/attachments/production/159010382520/original/JcDbG7UA6SWbK2GzPe3xTe_Fq_NsSv240w.png?1774508175
